,Course,Course link,Course image links
0, Home,https://www.javatpoint.com,https://static.javatpoint.com/images/icon/home.png
1, Python,python-tutorial,https://static.javatpoint.com/images/icon/python.png
2, Java,java-tutorial,https://static.javatpoint.com/images/icon/java.png
3, JavaScript,javascript-tutorial,https://static.javatpoint.com/images/icon/js.png
4, HTML,html-tutorial,https://static.javatpoint.com/images/icon/html.png
5, SQL,sql-tutorial,https://static.javatpoint.com/images/icon/sql.png
6, PHP,php-tutorial,https://static.javatpoint.com/images/icon/php.png
7, C#,c-sharp-tutorial,https://static.javatpoint.com/images/icon/csharp.png
8, C++,cpp-tutorial,https://static.javatpoint.com/images/icon/cpp.png
9, DS,data-structure-tutorial,https://static.javatpoint.com/images/icon/ds.png
10, Aptitude,https://www.javatpoint.com/aptitude/quantitative,https://static.javatpoint.com/images/icon/aptitude.png
11, Reasoning,reasoning,https://static.javatpoint.com/images/icon/reasoning.png
12, Selenium,selenium-tutorial,https://static.javatpoint.com/images/icon/selenium.png
13, DBMS,dbms-tutorial,https://static.javatpoint.com/images/icon/dbms.png
14, C,c-programming-language-tutorial,https://static.javatpoint.com/images/icon/c.png
15, Android,android-tutorial,https://static.javatpoint.com/images/icon/android.png
16, Interview Q,interview-questions-and-answers,https://static.javatpoint.com/images/icon/interview.png
